,Dataset_name,Anomaly_classes,Training_sample_size,Test_sample_size,Test_balance_size,Test_length_dev,Anomaly_All_ratio_dev,Test_size_balance_dev,Test_All_ratio_dev,Test_Train_ratio_dev,Anomaly_test_ratio_dev,Amount_of_classes
0,1_politics,['politics'],121747,62859 (17.0%),10681 A,62859,0.05785835779985483,10681,0.34050355893091233,0.5163084100634924,0.16991997963696528,1
1,2_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",24921,62859 (83.0%),10681 N,62859,0.5944178628389155,10681,0.7160970608339029,2.522330564584086,0.8300800203630347,33
2,3_politics_wellness,"['politics', 'wellness']",109186,62859 (25.6%),16065 A,62859,0.09337673283152663,16065,0.36536371298206866,0.5757056765519389,0.2555719944637999,2
3,4_politics_wellness_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",37482,62859 (74.4%),16065 N,62859,0.4663497473614973,16065,0.6264537925673453,1.6770449815911637,0.7444280055362,32
4,5_entertainment_politics,"['entertainment', 'politics']",109594,62859 (25.3%),15890 A,62859,0.09214104712588357,15890,0.3644993128562565,0.5735624213004361,0.2527879858095102,2
5,6_entertainment_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",37074,62859 (74.7%),15890 N,62859,0.47000490328520106,15890,0.6290114376632344,1.6955008901116686,0.7472120141904899,32
6,7_politics_travel,"['politics', 'travel']",114817,62859 (21.7%),13651 A,62859,0.07683086066773227,13651,0.3537844165784912,0.5474711932901922,0.21716858365548292,2
7,8_politics_travel_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",31851,62859 (78.3%),13651 N,62859,0.5195649878576708,13651,0.6636997149192271,1.9735330130922106,0.7828314163445171,32
8,9_politics_parenting,"['politics', 'parenting']",112825,62859 (23.1%),14505 A,62859,0.08256301086040846,14505,0.3577958152136791,0.5571371593175272,0.23075454588841693,2
9,10_politics_parenting_INVERT,"['u.s. news' 'comedy' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",33843,62859 (76.9%),14505 N,62859,0.5000310231432649,14505,0.6500279208289383,1.8573708004609522,0.7692454541115831,32
10,11_healthy living tips_politics,"['healthy living tips', 'politics']",117061,62859 (20.2%),12689 A,62859,0.07052578923966207,12689,0.34937194308581593,0.5369764481765917,0.20186449036733006,2
11,12_healthy living tips_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college' 'good news'
 'fifty' 'divorce']",29607,62859 (79.8%),12689 N,62859,0.542577812385093,12689,0.6798066316267601,2.1231127773837266,0.79813550963267,32
12,13_politics_queer voices,"['politics', 'queer voices']",117304,62859 (20.0%),12585 A,62859,0.06985341052269334,12585,0.3489007176834311,0.5358640796562777,0.20020999379563786,2
13,14_politics_queer voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",29364,62859 (80.0%),12585 N,62859,0.5451351615106861,12585,0.6815978660420936,2.1406824683285657,0.7997900062043621,32
14,15_politics_food & drink,"['politics', 'food & drink']",115842,62859 (21.0%),13212 A,62859,0.07393355381335304,13212,0.351755166451223,0.5426270264670845,0.210184699088436,2
15,16_politics_food & drink_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",30826,62859 (79.0%),13212 N,62859,0.5299354218925122,13212,0.6709611997651705,2.039155258547979,0.7898153009115639,32
16,17_business_politics,"['business', 'politics']",117553,62859 (19.9%),12479 A,62859,0.06916945657716782,12479,0.348419173890872,0.5347290158481706,0.19852367998218234,2
17,18_business_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",29115,62859 (80.1%),12479 N,62859,0.547763498379977,12479,0.6834431469763194,2.158990211231324,0.8014763200178177,32
18,19_comedy_politics,"['comedy', 'politics']",117967,62859 (19.6%),12301 A,62859,0.06802672182097708,12301,0.3476214703637751,0.5328524078767791,0.19569194546524762,2
19,20_comedy_politics_INVERT,"['u.s. news' 'parenting' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",28701,62859 (80.4%),12301 N,62859,0.5521843599825251,12301,0.6865334207077326,2.190132747987875,0.8043080545347524,32
20,21_sports_politics,"['sports', 'politics']",118193,62859 (19.4%),12204 A,62859,0.06740604909086892,12204,0.34718754832865695,0.5318335265201831,0.19414880923972702,2
21,22_sports_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",28475,62859 (80.6%),12204 N,62859,0.5546127400529923,12204,0.6882322026846519,2.207515364354697,0.805851190760273,32
22,23_black voices_politics,"['black voices', 'politics']",118539,62859 (19.2%),12056 A,62859,0.06646159274082404,12056,0.3465253200145536,0.5302811732847418,0.19179433334924195,2
23,24_black voices_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",28129,62859 (80.8%),12056 N,62859,0.55834835362905,12056,0.6908493427704753,2.2346688470973017,0.808205666650758,32
24,25_home & living_politics,"['home & living', 'politics']",118723,62859 (19.1%),11977 A,62859,0.06595918097608794,11977,0.34617418026015795,0.5294593297002266,0.19053755229959116,2
25,26_home & living_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",27945,62859 (80.9%),11977 N,62859,0.5603497643275627,11977,0.6922492401215805,2.2493827160493827,0.8094624477004089,32
26,27_politics_weddings,"['politics', 'weddings']",119190,62859 (18.7%),11777 A,62859,0.06469137430032573,11777,0.3452861592208691,0.5273848477221244,0.18735582812326,2
27,28_politics_weddings_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",27478,62859 (81.3%),11777 N,62859,0.5654604425650619,11777,0.6958278446262329,2.2876119077079844,0.81264417187674,32
28,29_politics_women,"['politics', 'women']",119247,62859 (18.7%),11753 A,62859,0.06453933423390773,11753,0.34517808309446146,0.5271327580568065,0.18697402122210025,2
29,30_politics_women_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",27421,62859 (81.3%),11753 N,62859,0.5660832964111653,11753,0.6962671688081524,2.292367163852522,0.8130259787778997,32
30,31_politics_crime,"['politics', 'crime']",119254,62859 (18.7%),11750 A,62859,0.06452038020350002,11750,0.34516481525206877,0.5271018162912774,0.1869262953594553,2
31,32_politics_crime_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",27414,62859 (81.3%),11750 N,62859,0.5661604244901577,11750,0.6963211591505766,2.2929525060188225,0.8130737046405447,32
32,33_politics_impact,"['politics', 'impact']",119308,62859 (18.7%),11726 A,62859,0.06436950710062744,11726,0.34506249759835755,0.5268632447111677,0.18654448845829555,2
33,34_politics_impact_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",27360,62859 (81.3%),11726 N,62859,0.5667653155100367,11726,0.6967379376849666,2.2974780701754387,0.8134555115417045,32
34,35_politics_divorce,"['politics', 'divorce']",119349,62859 (18.6%),11709 A,62859,0.06426172286617492,11709,0.34498485247629085,0.5266822512128296,0.1862740419033074,2
35,36_politics_divorce_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty']",27319,62859 (81.4%),11709 N,62859,0.5672115150036594,11709,0.697054714010069,2.300926095391486,0.8137259580966926,32
36,37_world news_politics,"['world news', 'politics']",115068,62859 (21.5%),13544 A,62859,0.07612110584677986,13544,0.35328533612099344,0.5462769840442173,0.21546636122114574,2
37,38_world news_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'arts & culture' 'tech' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",31600,62859 (78.5%),13544 N,62859,0.5220783620406737,13544,0.6654633227114409,1.9892088607594938,0.7845336387788543,32
38,39_media_politics,"['media', 'politics']",119686,62859 (18.4%),11564 A,62859,0.06334876331863376,11564,0.3443479689939467,0.5251992714269004,0.18396729187546731,2
39,40_media_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",26982,62859 (81.6%),11564 N,62859,0.570953128304449,11564,0.6996694159682105,2.3296642205915052,0.8160327081245327,32
40,41_weird news_politics,"['weird news', 'politics']",119803,62859 (18.3%),11514 A,62859,0.06303445708467005,11514,0.344127404714719,0.5246863601078438,0.18317186083138454,2
41,42_weird news_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",26865,62859 (81.7%),11514 N,62859,0.5722549150728902,11514,0.7005817841380233,2.3398101619207146,0.8168281391686155,32
42,43_politics_religion,"['politics', 'religion']",119943,62859 (18.2%),11454 A,62859,0.06265795779039617,11454,0.34386385269307773,0.5240739351191817,0.18221734357848518,2
43,44_politics_religion_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",26725,62859 (81.8%),11454 N,62859,0.5738189855331309,11454,0.7016766386854796,2.352067352666043,0.8177826564215148,32
44,45_politics_style,"['politics', 'style']",113299,62859 (22.8%),14301 A,62859,0.08118280180292692,14301,0.3568330703118791,0.5548063089700703,0.22750918722855915,2
45,46_politics_style_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",33369,62859 (77.2%),14301 N,62859,0.5046140416510787,14301,0.6532298291557551,1.8837543828103929,0.7724908127714408,32
46,47_politics_science,"['politics', 'science']",120203,62859 (18.0%),11343 A,62859,0.06196261375927282,11343,0.3433754684205351,0.5229403592256433,0.18045148666062139,2
47,48_politics_science_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",26465,62859 (82.0%),11343 N,62859,0.576731897362411,11343,0.7037190452733868,2.375174759115813,0.8195485133393786,32
48,49_politics_tech,"['politics', 'tech']",120274,62859 (18.0%),11312 A,62859,0.0617693151971518,11312,0.34324234299661993,0.5226316577148844,0.17995831941329007,2
49,50_politics_tech_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",26394,62859 (82.0%),11312 N,62859,0.5775380099268372,11312,0.7042788477698229,2.381563991816322,0.8200416805867099,32
50,51_politics_money,"['politics', 'money']",120518,62859 (17.8%),11208 A,62859,0.06111998778472764,11208,0.34278562742328644,0.5215735408818599,0.17830382284159788,2
51,52_politics_money_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",26150,62859 (82.2%),11208 N,62859,0.580289633632554,11208,0.7062094844341583,2.403785850860421,0.8216961771584022,32
52,53_politics_environment,"['politics', 'environment']",118901,62859 (18.9%),11901 A,62859,0.06547645246478873,11901,0.34583516725352115,0.528666705915005,0.18932849711258531,2
53,54_politics_environment_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",27767,62859 (81.1%),11901 N,62859,0.562288967845872,11901,0.6936088981087105,2.263802355313862,0.8106715028874147,32
54,55_politics_fifty,"['politics', 'fifty']",120766,62859 (17.7%),11101 A,62859,0.06045473110959836,11101,0.3423226684819605,0.520502459301459,0.1766016004072607,2
55,56_politics_fifty_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'divorce']",25902,62859 (82.3%),11101 N,62859,0.5831164588051059,11101,0.7081826477844999,2.4268010192263145,0.8233983995927393,32
56,57_politics_good news,"['politics', 'good news']",120768,62859 (17.7%),11100 A,62859,0.06044862683592282,11100,0.3423189400251597,0.5204938394276629,0.17658569178637903,2
57,58_politics_good news_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'fifty' 'divorce']",25900,62859 (82.3%),11100 N,62859,0.5831408645883798,11100,0.7081986052118658,2.426988416988417,0.8234143082136209,32
58,59_politics_u.s. news,"['politics', 'u.s. news']",120783,62859 (17.6%),11094 A,62859,0.06041101708759434,11094,0.3422909791877675,0.5204291994734358,0.1764902400610891,2
59,60_politics_u.s. news_INVERT,"['comedy' 'parenting' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",25885,62859 (82.4%),11094 N,62859,0.5833070404759758,11094,0.7083183088434147,2.4283948232567125,0.8235097599389108,32
60,61_arts & culture_politics,"['arts & culture', 'politics']",119002,62859 (18.9%),11858 A,62859,0.06520364454171043,11858,0.3456431010497028,0.5282180131426363,0.1886444264146741,2
61,62_arts & culture_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'tech' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",27666,62859 (81.1%),11858 N,62859,0.5633913283623309,11858,0.6943827671913836,2.272066796790284,0.8113555735853258,32
62,63_politics_college,"['politics', 'college']",120946,62859 (17.5%),11024 A,62859,0.0599766056418487,11024,0.3419874323331792,0.5197278124121508,0.1753766365993732,2
63,64_politics_college_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'healthy living tips'
 'good news' 'fifty' 'divorce']",25722,62859 (82.5%),11024 N,62859,0.5851706347862409,11024,0.7096217021708945,2.4437835316071843,0.8246233634006268,32
64,65_politics_latino voices,"['politics', 'latino voices']",120956,62859 (17.5%),11020 A,62859,0.05995158175339336,11020,0.3419688273535892,0.5196848440755316,0.17531300211584658,2
65,66_politics_latino voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",25712,62859 (82.5%),11020 N,62859,0.5852818642670852,11020,0.7097018211378442,2.4447339763534535,0.8246869978841534,32
66,67_politics_education,"['politics', 'education']",121037,62859 (17.5%),10985 A,62859,0.05973485013268369,10985,0.3418182015922043,0.5193370622206432,0.17475620038498862,2
67,68_politics_education_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",25631,62859 (82.5%),10985 N,62859,0.5862131314272799,10985,0.7103514521414849,2.4524599118255237,0.8252437996150114,32
68,69_politics_ENVIRONMENT,"['healthy living tips', 'tech', 'u.s. news', 'arts & culture', 'travel', 'world news', 'science', 'environment', 'politics', 'food & drink', 'impact']",85535,62859 (41.7%),26200 A,62859,0.1765570036524388,26200,0.4235952936102538,0.7348921494125212,0.41680586709938117,11
69,70_politics_ENVIRONMENT_INVERT,"['comedy' 'parenting' 'sports' 'entertainment' 'weird news' 'education'
 'crime' 'wellness' 'business' 'style' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'money' 'religion' 'latino voices'
 'weddings' 'college' 'good news' 'fifty' 'divorce']",61133,62859 (58.3%),26200 N,62859,0.29565617136589456,26200,0.5069601264597716,1.0282335236288094,0.5831941329006188,23
70,71_politics_ADULT INTERESTS,"['healthy living tips', 'tech', 'crime', 'money', 'wellness', 'home & living', 'divorce', 'parenting', 'education', 'sports', 'fifty', 'college', 'business', 'politics', 'weddings', 'travel']",65233,62859 (55.5%),27958 N,62859,0.2724682259625894,27958,0.49073322299597166,0.9636073766345254,0.5552267773906681,16
71,72_politics_ADULT INTERESTS_INVERT,"['u.s. news' 'comedy' 'world news' 'arts & culture' 'entertainment'
 'weird news' 'environment' 'science' 'style' 'food & drink' 'media'
 'queer voices' 'women' 'black voices' 'religion' 'latino voices' 'impact'
 'good news']",81435,62859 (44.5%),27958 A,62859,0.19375719018115792,27958,0.4356314191858289,0.7718916927610978,0.444773222609332,18
72,73_politics_AESTHETICS,"['arts & culture', 'style', 'home & living', 'politics', 'weddings', 'food & drink', 'travel']",92138,62859 (37.2%),23371 A,62859,0.15078356355284295,23371,0.4055497848345452,0.682226660009985,0.371800378625177,7
73,74_politics_AESTHETICS_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'tech' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'media' 'queer voices' 'women' 'black voices'
 'money' 'religion' 'latino voices' 'impact' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",54530,62859 (62.8%),23371 N,62859,0.3363858623891506,23371,0.5354760667524214,1.1527416101228682,0.628199621374823,27
74,75_politics_MINORITIES,"['latino voices', 'queer voices', 'women', 'black voices', 'politics']",110805,62859 (24.5%),15371 A,62859,0.08850999631472269,15371,0.3619575732448867,0.5672938946798429,0.24453141157193084,5
75,76_politics_MINORITIES_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'home & living' 'travel' 'money' 'religion' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",35863,62859 (75.5%),15371 N,62859,0.48102753185713415,15371,0.636727375863536,1.7527535342832445,0.7554685884280692,29
76,77_politics_SCIENTIFIC,"['crime', 'money', 'science', 'education', 'business', 'politics', 'tech']",110103,62859 (24.9%),15671 A,62859,0.0906037164232606,15671,0.3634266486280223,0.5709108743630964,0.24930399783642757,7
77,78_politics_SCIENTIFIC_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'weird news' 'environment' 'wellness' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women'
 'black voices' 'travel' 'religion' 'latino voices' 'impact' 'weddings'
 'college' 'healthy living tips' 'good news' 'fifty' 'divorce']",36565,62859 (75.1%),15671 N,62859,0.4746137753459929,15671,0.6322316543289347,1.719102967318474,0.7506960021635725,27
78,79_politics_PROGRESS,"['money', 'queer voices', 'women', 'science', 'education', 'college', 'environment', 'black voices', 'politics', 'tech']",102993,62859 (29.8%),18719 A,62859,0.11286568748040422,18719,0.37900658418348887,0.610323031662346,0.29779347428371433,10
79,80_politics_PROGRESS_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'weird news' 'crime' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'travel' 'religion'
 'latino voices' 'impact' 'weddings' 'healthy living tips' 'good news'
 'fifty' 'divorce']",43675,62859 (70.2%),18719 N,62859,0.4143278202264066,18719,0.5900369834982259,1.4392444190040068,0.7022065257162856,24
